Category: All categories

Month,PHK: (Indonesia),lowongan kerja: (Indonesia)
2019-01,2,99
2019-02,2,86
2019-03,2,81
2019-04,2,77
2019-05,2,68
2019-06,2,91
2019-07,2,100
2019-08,3,89
2019-09,3,84
2019-10,3,79
2019-11,2,72
2019-12,2,64
2020-01,2,82
2020-02,3,77
2020-03,3,55
2020-04,12,42
2020-05,9,48
2020-06,7,93
2020-07,5,82
2020-08,3,76
2020-09,3,61
2020-10,4,54
2020-11,3,52
2020-12,3,46
2021-01,2,63
2021-02,2,53
2021-03,2,51
2021-04,3,46
2021-05,2,50
2021-06,2,63
2021-07,2,43
2021-08,2,47
2021-09,2,49
2021-10,2,46
2021-11,3,44
2021-12,2,40
2022-01,2,48
2022-02,2,43
2022-03,2,40
2022-04,2,38
2022-05,3,49
2022-06,4,55
2022-07,2,51
2022-08,2,51
2022-09,5,45
2022-10,3,40
2022-11,6,36
2022-12,3,33
2023-01,3,42
2023-02,3,36
2023-03,3,31
2023-04,2,29
2023-05,3,48
2023-06,3,38
2023-07,2,40
2023-08,2,40
2023-09,3,36
2023-10,2,35
2023-11,3,34
2023-12,2,31
2024-01,3,34
2024-02,2,25
2024-03,3,24
2024-04,2,24
2024-05,3,32
2024-06,3,28
2024-07,3,31
2024-08,3,31
2024-09,3,28
2024-10,3,28
2024-11,4,28
2024-12,3,27
2025-01,3,32
2025-02,5,28
2025-03,4,20
2025-04,4,28
2025-05,5,29
2025-06,4,22
2025-07,3,23
2025-08,3,22
2025-09,4,21
2025-10,3,19
2025-11,3,18
2025-12,3,16
2026-01,3,19
2026-02,3,17
2026-03,3,15
2026-04,3,21
2026-05,3,19
2026-06,3,18
2026-07,4,18
2026-08,3,17
